"id","sample_name","project","type_project","ammo_type","sample_type","sample_source"
4638,acbbb742c7524cecdec7557d60e4a19af062346309ce5731c88485c7daf48982,"42f1c3585fbef56a3455e97f0f70ab01092b08ed86b8f664091e5c9ec985f464",zaak,,,
503,"773e0b61af354cf2b2dd877bd81bf5eb3d2bed72a1c9aad83a04ca2505248ad7","2447c5db8fe244f0a6ed63f9f215db4b8894690674c0860e59849b55b425885b",zaak,,,
366,"773e0b61af354cf2b2dd877bd81bf5eb3d2bed72a1c9aad83a04ca2505248ad7","8282e40f4b453bd9d66ce61ca4e10b965b54b1afcf2e62b89549fa9019de3101",zaak,,,
370,"124318e8b053fd454439b7b6bd984d13efa12d2e393d607b6b5124275f7ca6bb","63de1d5b63c17186185e3890bfcb164b897750fd314f27b2215b74c60a3e103c",zaak,,,
374,"74da30c3a85302134276c2cec342f02e9d368ad6859ce39bed593a2c9ac36e77",dec01d61c31f5edfe6577a1ecfa0cb871c1b9a56551877f276551bedd4ae24c5,zaak,,,
379,"178bb67033407546502ddc7c482eac358ed7e38750e3b9e896e5e279e1c3c742",e93cb981e3aba178b4a315dfd8f9947412f169077d6f155950fbdb14efaa9bd3,zaak,,,
384,"7544d494ad36b94462d8c9604493bc275e9114c144d0d8238071b96c1a4cf718","85ba5137ee3e474e085208cfed122a3559dc3707303b5dbba24bbdffc9869730",zaak,,,
394,"771da04c14bc846203f04afa65c93e8ce2c9e6797ab55fa93c35cb141b1d0bd7",f584ac0ca0b3d0344ff281b6c1df5c8ec945d73d81f14d9ec1904e3a146cecfc,zaak,,,
400,"5339184a27c03e3cc7a06d10e3f76461c745b8411ccc2605234e2a93be0c8e8b","54a29af039b0c50ee155a05af1ad1df2c70df0ffd707e278010b90bc0a97ff62",zaak,,,
411,d4aea4c21f62702d6f446f87689b9a99fd197fe52926bc6ed077177196220216,d4ee890c6740c62d3ffd82aa75dc6de5ecc872752e1a284b976139d41c4b0e77,R&D,,,
415,"22ce91fca293dc068c0efa8e4a97bfedd38b686c4f52396f9cfe08d06ff75e2e",d8045b6e1333c5d2d5c338361274dbff70a1948cc26997d6f1043a2507edac26,zaak,,,
419,e8eed88d6201a65074c0e184c6e4e2edc946d19f9edf5ab08b862085f84bd698,"59b4e1d5d913be1920c47b498457a070244c2c0d4ce1e31da23576c0e2900d2b",R&D,,,
420,bcb84b261143fb8f5487a5b0c3b46cd68ff536b49aa5333c5f17c986adf8fd3a,b77b7e4ca4516d4fa32210a23a33876324619d9c5d82aed7f0241a378fce20eb,zaak,,,
448,"773e0b61af354cf2b2dd877bd81bf5eb3d2bed72a1c9aad83a04ca2505248ad7",c14d195661f2dd720de723f55a2bfc68bad5e90a4239b37b1f4ea0f6f473de1a,zaak,,,
